asset_name,asset_code,asset_type,location,manager,is_active,start_date,end_date,parent
Mitchell-Benitez Server 274,CODE-00001,Server,Remote (Home),Caitlin Stevenson,True,2023-07-24,,
Tyler and Sons Printer 653,CODE-00002,Printer,Storage Room,April Armstrong,True,2021-10-14,,
Maldonado-Wiley Laptop 720,CODE-00003,Laptop,London Office,Jacqueline Johnson,True,2022-08-21,,
Reid Group Desktop 812,CODE-00004,Desktop,Storage Room,Robert Hunter,True,2023-05-08,,
Roberts-Martinez Laptop 475,CODE-00005,Laptop,Data Center 1,Matthew Lloyd,True,2025-09-10,,
Hill LLC Monitor 878,CODE-00006,Monitor,Building A,Erica Harding,False,2021-02-01,2025-09-25,
Graham and Sons Laptop 154,CODE-00007,Laptop,Building B,Michael Castro,True,2024-10-07,,
"Wells, Walker and Clark Monitor 476",CODE-00008,Monitor,Remote (Home),Karen Chung,True,2024-03-29,,
Hutchinson and Sons Laptop 182,CODE-00009,Laptop,New York Office,Sarah Richardson,True,2021-05-25,,
Olsen Group Projector 634,CODE-00010,Projector,Building B,Scott Carr,True,2023-09-20,,
"Wood, Garcia and Rivera Monitor 481",CODE-00011,Monitor,New York Office,Thomas Parrish,True,2022-05-26,,
"Spencer, Duke and Carr Router 242",CODE-00012,Router,Building B,Christopher Nguyen,True,2021-04-16,,
"Williams, Nielsen and Rodriguez Desktop 799",CODE-00013,Desktop,Building A,Jaime Bernard,True,2022-11-09,,
"Adams, Hamilton and Wilson Router 250",CODE-00014,Router,Storage Room,Amanda Santiago,True,2021-04-23,,
"James, Christian and Carr Printer 517",CODE-00015,Printer,London Office,Michael Harris,True,2021-04-12,,
"Williams, Castro and Peterson Server 750",CODE-00016,Server,Remote (Home),Cassandra Beasley,True,2021-10-10,,
Griffin Group Projector 265,CODE-00017,Projector,Building B,Matthew Burke,True,2023-08-28,,
Li-Nicholson Router 919,CODE-00018,Router,New York Office,Jacob Smith,True,2023-01-05,,
"Phillips, Williams and Francis Software License 405",CODE-00019,Software License,New York Office,Matthew Cervantes,True,2023-03-13,,
Harvey-Bernard Monitor 350,CODE-00020,Monitor,Data Center 1,Ann Goodman,True,2025-11-03,,
"Lam, Smith and Shannon Software License 243",CODE-00021,Software License,Building B,Krystal Wilcox,True,2025-05-30,,
Sullivan-Smith Router 226,CODE-00022,Router,London Office,Jason Ryan,True,2025-02-21,,
"Smith, Snyder and Hansen Laptop 201",CODE-00023,Laptop,London Office,Steven Wilson,True,2022-03-04,,
Daniels LLC Projector 598,CODE-00024,Projector,Storage Room,Robert Moody,True,2021-05-01,,
Francis-Larson Server 753,CODE-00025,Server,Data Center 1,Bonnie Schultz,True,2024-07-21,,
Joyce-Mora Printer 343,CODE-00026,Printer,Remote (Home),Rachel Diaz,True,2024-04-21,,
Williams Group Server 546,CODE-00027,Server,Building B,Melissa Johnson,True,2022-04-02,,
"Hatfield, Walsh and Rhodes Router 724",CODE-00028,Router,London Office,Lee Smith,True,2021-01-03,,
Hernandez Ltd Router 552,CODE-00029,Router,Building B,James Cordova,True,2021-04-11,,
Johnson-Day Phone 737,CODE-00030,Phone,London Office,Lauren Gardner,True,2021-08-11,,
"Alexander, Blankenship and Holder Laptop 847",CODE-00031,Laptop,London Office,Jacob Hess PhD,True,2025-09-06,,
"Kelly, Barker and Nichols Desktop 645",CODE-00032,Desktop,Remote (Home),Jack Rodriguez,True,2023-10-20,,
Allen and Sons Printer 277,CODE-00033,Printer,London Office,Theresa Randall,True,2025-09-04,,
Jordan-Hall Monitor 675,CODE-00034,Monitor,Building A,Jackson Thomas,True,2021-12-25,,
Hogan Group Monitor 315,CODE-00035,Monitor,Data Center 1,Javier Martinez,True,2022-01-02,,
"Perez, Wallace and Turner Software License 105",CODE-00036,Software License,New York Office,Kimberly Mcconnell,True,2023-09-13,,
"Abbott, Morales and Smith Server 445",CODE-00037,Server,London Office,Brittney Webster,True,2021-04-03,,
Oconnor-Price Laptop 170,CODE-00038,Laptop,Building A,Anthony Wells,True,2021-07-09,,
"Collins, Carr and Gonzales Projector 774",CODE-00039,Projector,New York Office,James Johnson,True,2022-02-06,,
"Alexander, Taylor and Espinoza Phone 540",CODE-00040,Phone,London Office,Brooke Palmer,True,2021-07-03,,
"Herrera, Ryan and Johnson Printer 150",CODE-00041,Printer,Building B,Heather Johnson,True,2021-02-08,,
Adams-Anderson Server 555,CODE-00042,Server,New York Office,Jared Roberts,True,2021-05-23,,
Perez-Willis Projector 648,CODE-00043,Projector,Data Center 1,Brian Martinez,True,2023-04-26,,
Wilson-Smith Server 671,CODE-00044,Server,London Office,Julie Mata,True,2024-12-11,,
Floyd-Gonzalez Server 461,CODE-00045,Server,Data Center 1,Carol Clark,True,2021-04-07,,
Martin-Dixon Projector 386,CODE-00046,Projector,London Office,Allen Anderson,True,2021-04-02,,
"Ho, Carter and May Laptop 688",CODE-00047,Laptop,Building B,Justin Foster,True,2021-01-08,,
"Smith, Adams and Johnson Software License 912",CODE-00048,Software License,Building B,Paige Ryan,True,2024-07-22,,
"Johnson, Garcia and Bowman Desktop 610",CODE-00049,Desktop,Remote (Home),Stacey Flores DDS,False,2021-07-31,2024-06-12,
Garner Ltd Server 299,CODE-00050,Server,London Office,Cynthia Morse,True,2025-03-07,,
Adams Ltd Desktop 114,CODE-00051,Desktop,London Office,Kayla Hudson,True,2025-10-06,,
"Gibson, Baldwin and Patel Software License 889",CODE-00052,Software License,Data Center 1,Jennifer Shepherd,True,2024-08-31,,
Newman PLC Printer 190,CODE-00053,Printer,Remote (Home),Paul Hicks,True,2025-09-15,,
Giles Inc Printer 466,CODE-00054,Printer,London Office,Mark Henderson,True,2024-06-05,,
"Mcguire, Perkins and Espinoza Server 204",CODE-00055,Server,Building A,Brian Willis,False,2024-12-27,2025-09-19,
Wilson-Fields Monitor 532,CODE-00056,Monitor,London Office,Steven Porter,True,2021-02-24,,
"Robbins, Casey and Jenkins Monitor 454",CODE-00057,Monitor,Remote (Home),David Whitney,True,2023-06-02,,
